Scientific_Name_Original,Common_name,Scientific_Name,Taxon_Rank,Kingdom,Phylum,Class,Family,Genus,Species,Latitude,Longitude,Country,State,Year,Event_Date,month,day,rowid,Suburbs,Postcode
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-37.8877,147.9736,Australia,Victoria,2007,2007/02/06,2,6,11, Lakes Entrance ,3909
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-38.2036,145.3808,Australia,Victoria,2007,2007/04/25,4,25,12, Tooradin ,3980
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-34.1783,142.1822,Australia,Victoria,2008,2008/02/26,2,26,13,Mildura,3500
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-34.2908,142.2127,Australia,Victoria,2009,2009/09/30,9,30,14, Red Cliffs ,3496
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-38.176,144.548,Australia,Victoria,2010,2010/03/31,3,31,15, Curlewis ,3222
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-37.6563,141.9269,Australia,Victoria,2010,2010/04/10,4,10,16, Bochara ,3301
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-38.4628,144.8986,Australia,Victoria,2011,2011/08/30,8,30,17, Cape Schanck ,3939
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-37.1,141.9,Australia,Victoria,2011,2011/05/02,5,2,18, Kanagulk ,3401
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-38.4,147,Australia,Victoria,2011,2011/12/09,12,9,19,Giffard West,3851
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-36.9001,145.3108,Australia,Victoria,2011,2011/11/07,11,7,20, Avenel ,3664
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-36.9,145.3,Australia,Victoria,2011,2011/11/07,11,7,21, Avenel ,3664
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-36.8161,144.2292,Australia,Victoria,2012,2012/05/14,5,14,22, Kangaroo Flat ,3555
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-38.268,144.349,Australia,Victoria,2012,2012/11/06,11,6,23, Mount Duneed ,3217
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-34.8856,143.3225,Australia,Victoria,2013,2013/11/19,11,19,24, Kenley ,3597
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-35.112,143.356,Australia,Victoria,2013,2013/11/20,11,20,25, Nyah ,3594
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-34.4824,142.3662,Australia,Victoria,2013,2013/05/30,5,30,26, Nangiloc ,3494
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-38.4628,144.8986,Australia,Victoria,2013,2013/05/30,5,30,27, Cape Schanck ,3939
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-37.9482,147.6047,Australia,Victoria,2013,2013/11/16,11,16,28, Forge Creek ,3875
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-34.5663,142.4049,Australia,Victoria,2013,2013/05/29,5,29,29, Hattah ,3501
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-34.1745,142.0416,Australia,Victoria,2014,2014/04/07,4,7,30, Merbein ,3505
Asparagus officinalis,Asparagus,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-36.7065,144.3207,Australia,Victoria,2014,2014/03/20,3,20,31, Epsom ,3551
Asparagus officinalis,Asparagus officinalis,Asparagus officinalis,species,Plantae,Charophyta,Equisetopsida,Asparagaceae,Asparagus,Asparagus officinalis,-38.15939226,142.3688677,Australia,Victoria,2017,2017/12/08,12,8,32, Woolsthorpe ,3276
Lavandula stoechas,Topped Lavender,Lavandula stoechas,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Lavandula,Lavandula stoechas,-37.26,142.74,Australia,Victoria,2000,2000/06/22,6,22,33, Moyston ,3377
Lavandula stoechas,Topped Lavender,Lavandula stoechas,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Lavandula,Lavandula stoechas,-38.21,146.35,Australia,Victoria,2001,2001/06/07,6,7,34, Yallourn ,3825
Lavandula stoechas,Topped Lavender,Lavandula stoechas,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Lavandula,Lavandula stoechas,-37.7066,145.2763,Australia,Victoria,2003,2003/08/20,8,20,35, Bend of Islands ,3097
Lavandula stoechas,Lavandula stoechas,Lavandula stoechas,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Lavandula,Lavandula stoechas,-36.3481,147.1797,Australia,Victoria,2004,2004/10/13,10,13,36, Charleroi ,3695
Lavandula stoechas,Lavandula stoechas,Lavandula stoechas,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Lavandula,Lavandula stoechas,-36.3481,147.1797,Australia,Victoria,2004,2004/10/13,10,13,37, Charleroi ,3695
Lavandula stoechas,Topped Lavender,Lavandula stoechas,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Lavandula,Lavandula stoechas,-37.1,145.1,Australia,Victoria,2006,2006/07/06,7,6,38, Tallarook ,3659
Lavandula stoechas,Topped Lavender,Lavandula stoechas,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Lavandula,Lavandula stoechas,-36.2824,146.8125,Australia,Victoria,2011,2011/09/30,9,30,39, Yackandandah ,3749
Lavandula stoechas,Topped Lavender,Lavandula stoechas,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Lavandula,Lavandula stoechas,-37.8936,144.5441,Australia,Victoria,2011,2011/11/14,11,14,40,Mambourin,3024
Lavandula stoechas,Topped Lavender,Lavandula stoechas,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Lavandula,Lavandula stoechas,-36.2,146.8,Australia,Victoria,2011,2011/09/30,9,30,41, Castle Creek ,3691
Lavandula stoechas,Topped Lavender,Lavandula stoechas,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Lavandula,Lavandula stoechas,-37.0165,144.0362,Australia,Victoria,2014,2014/06/24,6,24,42, Maldon ,3463
Melissa officinalis,Lemon Balm,Melissa officinalis,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Melissa,Melissa officinalis,-37.7961,145.2083,Australia,Victoria,2001,2001/11/19,11,19,43, Donvale ,3111
Melissa officinalis,Lemon Balm,Melissa officinalis,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Melissa,Melissa officinalis,-37.7066,145.2763,Australia,Victoria,2003,2003/08/20,8,20,44, Bend of Islands ,3097
Melissa officinalis,Lemon Balm,Melissa officinalis,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Melissa,Melissa officinalis,-37.5433,143.8822,Australia,Victoria,2006,2006/07/11,7,11,45, Nerrina ,3350
Melissa officinalis,Lemon Balm,Melissa officinalis,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Melissa,Melissa officinalis,-37.4629,143.8417,Australia,Victoria,2006,2006/07/18,7,18,46, Sulky ,3352
Melissa officinalis,Melissa officinalis,Melissa officinalis,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Melissa,Melissa officinalis,-38.5083,143.75,Australia,Victoria,2007,2007/04/02,4,2,47, Barwon Downs ,3243
Melissa officinalis,Lemon Balm,Melissa officinalis,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Melissa,Melissa officinalis,-36.7,147.7,Australia,Victoria,2011,2011/05/24,5,24,48,Nariel Valley,3707
Origanum vulgare,Wild Marjoram,Origanum vulgare,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Origanum,Origanum vulgare,-37.7461,145.0694,Australia,Victoria,2006,2006/01/10,1,10,49, Rosanna ,3084
Mentha piperita,Peppermint,Mentha piperita,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Mentha,Mentha piperita,-37.7066,145.2763,Australia,Victoria,2003,2003/08/20,8,20,50, Bend of Islands ,3097
Mentha piperita,Peppermint,Mentha piperita,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Mentha,Mentha piperita,-37.7775,145.2472,Australia,Victoria,2005,2005/03/07,3,7,51, Warranwood ,3134
Mentha piperita,Peppermint,Mentha piperita,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Mentha,Mentha piperita,-36.8677,145.6133,Australia,Victoria,2006,2006/08/01,8,1,52, Gooram ,3666
Mentha piperita,Peppermint,Mentha piperita,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Mentha,Mentha piperita,-38.4777,146.6694,Australia,Victoria,2006,2006/03/01,3,1,53, Macks Creek ,3971
Mentha piperita,Peppermint,Mentha piperita,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Mentha,Mentha piperita,-38.5346,142.8381,Australia,Victoria,2009,2009/06/03,6,3,54, Nirranda South ,3268
Mentha piperita,Peppermint,Mentha piperita,species,Plantae,Charophyta,Equisetopsida,Lamiaceae,Mentha,Mentha piperita,-37.3972,144.6323,Australia,Victoria,2011,2011/05/25,5,25,55, Mount Macedon ,3441
Grevillea montis-cole,Grevillea montis-cole,Grevillea montis-cole,species,Plantae,Charophyta,Equisetopsida,Proteaceae,Grevillea,Grevillea montis-cole,-37.3044444,143.1152778,Australia,Victoria,2006,2006/02/01,2,1,56, Warrak ,3377
Grevillea montis-cole,Mount Cole Grevillea,Grevillea montis-cole,species,Plantae,Charophyta,Equisetopsida,Proteaceae,Grevillea,Grevillea montis-cole,-37.297,143.279,Australia,Victoria,2011,2011/11/10,11,10,57, Raglan ,3373
Grevillea montis-cole,Mount Cole Grevillea,Grevillea montis-cole,species,Plantae,Charophyta,Equisetopsida,Proteaceae,Grevillea,Grevillea montis-cole,-37.2966,143.2781,Australia,Victoria,2011,2011/11/10,11,10,58, Raglan ,3373
Grevillea montis-cole,Mount Cole Grevillea,Grevillea montis-cole,species,Plantae,Charophyta,Equisetopsida,Proteaceae,Grevillea,Grevillea montis-cole,-37.2966,143.2781,Australia,Victoria,2011,2011/11/10,11,10,59, Raglan ,3373
Grevillea montis-cole,Grevillea montis-cole,Grevillea montis-cole,species,Plantae,Charophyta,Equisetopsida,Proteaceae,Grevillea,Grevillea montis-cole,-37.31395339,143.2559967,Australia,Victoria,2015,2015/06/18,6,18,60, Raglan ,3373
Rubus idaeus,Raspberry,Rubus idaeus,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Rubus,Rubus idaeus,-37.9919,141.2605,Australia,Victoria,2002,2002/05/26,5,26,61, Drik Drik ,3304
Rubus idaeus,Raspberry,Rubus idaeus,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Rubus,Rubus idaeus,-37.1491,146.4463,Australia,Victoria,2006,2006/10/03,10,3,62, Mount Buller ,3723
Prunus lusitanica,Portugal Laurel,Prunus lusitanica,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Prunus,Prunus lusitanica,-37.38,144.575,Australia,Victoria,2001,2001/02/20,2,20,63, Mount Macedon ,3441
Prunus lusitanica,Portugal Laurel,Prunus lusitanica,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Prunus,Prunus lusitanica,-37.8842,145.3389,Australia,Victoria,2004,2004/12/29,12,29,64, Ferny Creek ,3786
Prunus lusitanica,Portugal Laurel,Prunus lusitanica,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Prunus,Prunus lusitanica,-37.8842,145.3389,Australia,Victoria,2004,2004/12/29,12,29,65, Ferny Creek ,3786
Prunus lusitanica,Portugal Laurel,Prunus lusitanica,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Prunus,Prunus lusitanica,-37.535,145.473,Australia,Victoria,2009,2009/09/30,9,30,66, Toolangi ,3777
Prunus lusitanica,Portugal Laurel,Prunus lusitanica,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Prunus,Prunus lusitanica,-37.8254,145.1934,Australia,Victoria,2012,2012/03/05,3,5,67, Mitcham ,3132
Prunus lusitanica,Portugal Laurel,Prunus lusitanica,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Prunus,Prunus lusitanica,-37.88324213,145.3387464,Australia,Victoria,2017,2017/12/03,12,3,68, Ferny Creek ,3786
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-38.308,144.365,Australia,Victoria,2000,2000/02/15,2,15,69, Torquay ,3228
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-36.1669,148.0025,Australia,Victoria,2000,2000/04/12,4,12,70, Towong ,3707
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.7388,145.3733,Australia,Victoria,2000,2000/06/07,6,7,71, Lilydale ,3140
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.7411,145.3733,Australia,Victoria,2000,2000/06/07,6,7,72, Lilydale ,3140
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-38.597,146.118,Australia,Victoria,2000,2000/06/01,6,1,73, Stony Creek ,3957
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-35.8391,145.1519,Australia,Victoria,2000,2000/06/20,6,20,74, Yielima ,3638
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.6847,145.4252,Australia,Victoria,2000,2000/06/07,6,7,75, Coldstream ,3770
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-36.72,145.99,Australia,Victoria,2000,2000/10/24,10,24,76,Swanpool,3673
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-38.3733,145.6888,Australia,Victoria,2000,2000/05/31,5,31,77, Loch ,3945
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.3141,144.1452,Australia,Victoria,2001,2001/01/16,1,16,78, Hepburn Springs ,3461
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.756,145.168,Australia,Victoria,2001,2001/04/08,4,8,79, Doncaster East ,3109
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-35.8416,145.1522,Australia,Victoria,2001,2001/02/20,2,20,80, Yielima ,3638
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-38.5425,145.4513,Australia,Victoria,2001,2001/11/06,11,6,81, Kilcunda ,3995
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-38.2527,145.2244,Australia,Victoria,2001,2001/09/25,9,25,82, Somerville ,3912
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-36.8636,147.2791,Australia,Victoria,2001,2001/06/01,6,1,83, Falls Creek ,3699
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.6088,144.9416,Australia,Victoria,2002,2002/03/22,3,22,84, Craigieburn ,3064
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.7897,144.7897,Australia,Victoria,2002,2002/10/09,10,9,85, Sunshine West ,3020
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.7494,144.8422,Australia,Victoria,2002,2002/12/13,12,13,86, Sunshine North ,3020
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.7066,145.2763,Australia,Victoria,2003,2003/08/20,8,20,87, Bend of Islands ,3097
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-38.0266,145.4369,Australia,Victoria,2003,2003/11/26,11,26,88, Pakenham ,3810
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.7166,144.3158,Australia,Victoria,2004,2004/09/26,9,26,89, Glenmore ,3340
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.78,145.28,Australia,Victoria,2004,2004/10/23,10,23,90, Croydon North ,3136
Malus pumila,Malus pumila,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.5311,144.1744,Australia,Victoria,2004,2004/10/28,10,28,91, Bunding ,3342
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-38.3544,144.9686,Australia,Victoria,2004,2004/06/16,6,16,92, Dromana ,3936
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-36.9838,147.1441,Australia,Victoria,2004,2004/05/04,5,4,93, Hotham Heights ,3741
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.359,144.963,Australia,Victoria,2005,2005/12/06,12,6,94, Bylands ,3762
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-36.9961,147.1558,Australia,Victoria,2005,2005/11/24,11,24,95, Hotham Heights ,3741
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.399,144.978,Australia,Victoria,2005,2005/12/06,12,6,96, Wallan ,3756
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.4291,144.9783,Australia,Victoria,2005,2005/12/05,12,5,97, Wallan ,3756
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.3594,144.9625,Australia,Victoria,2005,2005/12/06,12,6,98, Bylands ,3762
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.3469,144.9597,Australia,Victoria,2005,2005/12/07,12,7,99, Bylands ,3762
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.3222,144.9552,Australia,Victoria,2005,2005/12/06,12,6,100, Kilmore ,3764
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-36.9836,147.1433,Australia,Victoria,2006,2006/02/22,2,22,101, Hotham Heights ,3741
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-38.4616,145.9502,Australia,Victoria,2006,2006/07/28,7,28,102, Leongatha ,3953
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-38.4855,146.6725,Australia,Victoria,2006,2006/03/01,3,1,103,Macks Creek,3971
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-36.9816,147.1433,Australia,Victoria,2006,2006/02/21,2,21,104, Hotham Heights ,3741
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.8697,144.7488,Australia,Victoria,2006,2006/04/07,4,7,105, Williams Landing ,3027
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-36.9838,147.1441,Australia,Victoria,2006,2006/03/22,3,22,106, Hotham Heights ,3741
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.2999,142.8794,Australia,Victoria,2007,2007/06/05,6,5,107, Cathcart ,3377
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.9125,145.2327,Australia,Victoria,2007,2007/04/13,4,13,108, Rowville ,3178
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.254,143.185,Australia,Victoria,2007,2007/04/30,4,30,109, Mount Cole ,3377
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.6461,145.3975,Australia,Victoria,2007,2007/08/08,8,8,110, Yarra Glen ,3775
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.3436,148.7005,Australia,Victoria,2007,2007/04/10,4,10,111, Goongerah ,3888
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.6597,145.3866,Australia,Victoria,2007,2007/08/08,8,8,112, Yarra Glen ,3775
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.3078,142.9756,Australia,Victoria,2007,2007/05/03,5,3,113, Denicull Creek ,3377
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.5311,145.1313,Australia,Victoria,2007,2007/11/20,11,20,114, Whittlesea ,3757
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.6683,143.4769,Australia,Victoria,2007,2007/06/07,6,7,115, Pittong ,3360
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.147,146.448,Australia,Victoria,2007,2007/11/14,11,14,116, Mount Buller ,3723
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.3874,143.3723,Australia,Victoria,2008,2008/09/29,9,29,117, Main Lead ,3373
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-38.2919,145.2161,Australia,Victoria,2008,2008/11/26,11,26,118, Hastings ,3915
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.6727,145.3061,Australia,Victoria,2008,2008/12/15,12,15,119, Christmas Hills ,3775
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.6922,145.1219,Australia,Victoria,2008,2008/03/22,3,22,120, Greensborough ,3088
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-36.8733,147.2969,Australia,Victoria,2008,2008/01/22,1,22,121, Falls Creek ,3699
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-36.893,147.301,Australia,Victoria,2008,2008/01/22,1,22,122, Falls Creek ,3699
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.146,146.455,Australia,Victoria,2008,2008/02/14,2,14,123, Mount Buller ,3723
Malus pumila,Apple,Malus pumila,species,Plantae,Charophyta,Equisetopsida,Rosaceae,Malus,Malus pumila,-37.5466,143.8791,Australia,Victoria,2009,2009/02/03,2,3,124, Black Hill ,3350
