rowid,Sciencetific_name,PLANT,Plant_type,Description,Links,Sowing_Instructions,Space_bet_plants,harvestInstructions,Compatible,Avoid_Instructions,Height,Width,Soil,Maintenance,Aspect,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,December
19,Solanum tuberosum,Potatoes,Vegetable,Potato plants are herbaceous perennials that grow about 60 cm (24 in) high depending on variety with the leaves dying back after flowering fruiting and tuber formation. They bear white pink red blue or purple flowers with yellow stamens. In general the tubers of varieties with white flowers have white skins while those of varieties with colored flowers tend to have pinkish skins.[20] Potatoes are mostly cross-pollinated by insects such as bumblebees which carry pollen from other potato plants though a substantial amount of self-fertilizing occurs as well.,https://en.wikipedia.org/wiki/Potato,Plant tuber. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),12 - 16 inches apart,Harvest in 15-20 weeks. Dig carefully avoid damaging the potatoes.,Peas Beans Brassicas Sweetcorn Broad Beans Nasturtiums Marigolds,Cucumber Pumpkin Sunflowers Tomatoes Rosemary,0.8m,0m,Open and well drained friable soils - best planted in raised rows and mulched with straw in cold climates.,Keep well watered especially during high growth phases - but don't let them become waterlogged or the potato tubers will rot.,Full sun/Light shade,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
20,Cucurbita,Pumpkin,Vegetable,"Cucurbita (Latin for gourd) is a genus of herbaceous vines in the gourd family Cucurbitaceae also known as cucurbits native to the Andes and Mesoamerica. Most Cucurbita species are herbaceous vines that grow several meters in length and have tendrils but non-vining ""bush"". The fruits of the genus Cucurbita are good sources of nutrients such as vitamin A and vitamin C among other nutrients according to species.",https://en.wikipedia.org/wiki/Cucurbita,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68°F and 90°F. (Show °C/cm),35 - 47 inches apart,Harvest in 15-20 weeks.,Sweet Corn,Potatoes,0m,0m,Moist soils enrichened with plenty of organic matter. Best planted on a mound of soil to encourage drainage.,Kabocha are harvested while the fruits are still growing meaning that they will continue to ripen. keep them in a warm place for two weeks to allow the starches to convert to carbohydrates. then keep them in a cool place for up to three months where they will develop their distinctive sweeter flavour and yellowy to red flesh,Full sun/Light shade,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
21,Raphanus raphanistrum,Radish,Vegetable,Raphanus raphanistrum (the wild radish white charlock or jointed charlock) is a flowering plant in the family Brassicaceae. It is sometimes claimed to be the ancestor of the edible radish Raphanus sativus. It has been introduced into most parts of the world and is regarded as a habitat threatening invasive species in many areas for example Australia. It spreads rapidly and is often found growing on roadsides or in other places where the ground has been disturbed.,https://en.wikipedia.org/wiki/Raphanus_raphanistrum,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm),1 - 2 inches apart,Harvest in 5-7 weeks.,Chervil cresslettuce leeks spinach strawberries tomatoes,Hyssop gherkins,1m,0.5m,Radishes are very adaptable but prefer a fertile aerated soil with good drainage and reliable moisture. Cultivate the soil well before planting out.,Seeds should be sown 1cm deep and 2cm apart with a 30cm space between rows. When the leaves appear it's a good idea to thin them out or the radishes will be stunted. Harvest about 4 weeks after sowing and you can leave some behind to set seed. To ensure best flavour and crispness always keep then well watered which makes them grow quickly. One day without water means they slow their growth rate and loose their flavour.,Full sun/Light shade,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22,Rheum rhabarbarum,Rhubarb,Vegetable,"Rhubarb is grown widely and with greenhouse production it is available throughout much of the year. Rhubarb grown in hothouses (heated greenhouses) is called ""hothouse rhubarb"" and is typically made available at consumer markets in early spring before outdoor cultivated rhubarb is available. Hothouse rhubarb is usually brighter red tenderer and sweeter-tasting than outdoor rhubarb.[6] In temperate climates rhubarb is one of the first food plants harvested usually in mid- to late spring.",https://en.wikipedia.org/wiki/Rhubarb,Easy to grow. Plant pieces of rhizome or roots 8 - 10 cm (3 - 4 in.) deep. Best planted at soil temperatures between 41°F and 68°F. (Show °C/cm),35 inches apart,Harvest in approximately 1 years. You will have a stronger plant if you leave it for about a year before using..,Brassicas (Cabbage Broccoli Cauliflower etc),,1.2m,1m,It likes a well drained friable soil that is rich with organic matter. Space plants 1.0-1.5 metres apart in order to maximise cropping. Keep it well watered though and a straw mulch will help maintain that moisture while keeping weeds at bay.,Dig in good quantities of compost or composted manures in autumn. N.B. do not use fresh manure as it will burn the plant. Propogate by dividing the rhizomes in winter.,Full sun/Light shade,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
23,Eruca vesicaria,Rocket,Vegetable,Eruca vesicaria (syn. Brassica vesicaria L.) also known as arugula rocket and rocket salad is a species of Eruca. It is an annual plant growing to 20–100 cm tall. The leaves are deeply pinnately lobed with four to ten small lateral lobes and a large terminal lobe. The flowers are 2–4 cm diameter arranged in a corymb with the typical Brassicaceae flower structure; the petals are creamy white with purple veins and the stamens yellow; the sepals are persistent after the flower opens.,https://en.wikipedia.org/wiki/Eruca_vesicaria,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),6 - 8 inches apart,Harvest in 21-35 days.,Lettuce,,0.6m,0.8m,Plant seedlings 15-20 cms apart in fertile well drained soil and firm down. Keep well watered until established, Harvest by cutting off leaves as required and they will produce for you for many weeks though thev will become stronger in taste as they age. In which case keep new ones coming planting out every three to four weeks.,Full sun,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
24,Beta vulgaris,Silver beet,Vegetable,Silverbeet is also known as chard Swiss chard and seakale beet. It is similar to spinach but has a stronger flavour. Silverbeet usually has a white stalk however red beet is sometimes available; it has the same green leaves but has a rich pink-red stem and veins.,https://www.vegetables.co.nz/vegetables-a-z/silverbeet/,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),6 - 12 inches apart,Harvest in 7-12 weeks.,Beans brassica sp. (cabbage cauliflower etc) tomato allium sp. (onion garlic chives) lavender parsnip,Corn melon cucurbit (cucumbers squash melons gourds) most herbs potato.,0.4m,0.3m,This vegie is not too picky and it will grow well in any well drained soil with moderate fertility.,Plant at all year round and keep well watered when in full growth.,Full sun/Light shade,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
25,Spinacia oleracea,Spinach,Vegetable,Spinach is an annual plant (rarely biennial) growing as tall as 30 cm (1 ft). Spinach may overwinter in temperate regions. The leaves are alternate simple ovate to triangular and very variable in size: 2–30 cm (1–12 in) long and 1–15 cm (0.4–5.9 in) broad with larger leaves at the base of the plant and small leaves higher on the flowering stem. The flowers are inconspicuous yellow-green 3–4 mm (0.1–0.2 in) in diameter and mature into a small hard dry lumpy fruit cluster 5–10 mm (0.2–0.4 in) across containing several seeds.,https://en.wikipedia.org/wiki/Spinach,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),8 - 12 inches apart,Harvest in 5-11 weeks.,Broad beans (fava) cabbage cauliflower celery eggplant (aubergine) onion peas strawberry santolina,,1m,0.2m, A deep fertile soil with good drainage. Spinach needs reliable moisture to prevent it from setting seed.,Plant in well-cultivated soil at 25cm intervals.,Full sun/Light shade,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
26,Allium fistulosum,Spring onions,Vegetable,The spring onion with its vivid green stem has long been a favourite to add a dash of colour to stir-fried dishes. The vegetable also gives a delicate onion flavour and crunch when eaten raw in salads sandwiches and salsas. Spring onions are an excellent source of vitamin C and calcium. They are also a good source of dietary fibre and vitamins A and B6 thiamine folate and minerals (potassium copper chromium manganese iron).,https://www.betterhealth.vic.gov.au/health/ingredientsprofiles/Spring-onions,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),close together,Harvest in 8-12 weeks.,Lemon Balm Borage Carrots Beets Silverbeet Lettuce Amaranth,Peas Beans,0.3m,0.1m,Well drained fertile weed free soils,Onion fly stem eelworm onion white rot.,Full sun,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
27,Thymus vulgaris,Thyme,Vegetable,Thymus vulgaris (common thyme German thyme garden thyme or just thyme) is a species of flowering plant in the mint family Lamiaceae native to southern Europe from the western Mediterranean to southern Italy. Growing to 15–30 cm (6–12 in) tall by 40 cm (16 in) wide it is a bushy woody-based evergreen subshrub with small highly aromatic grey-green leaves and clusters of purple or pink flowers in early summer. ,https://en.wikipedia.org/wiki/Thymus_vulgaris,Grow in seed trays and plant out 6-8 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59°F and 77°F. (Show °C/cm),10 - 12 inches apart,Harvest in 42-52 weeks. Root divisions ready in 3 months.,Dry-environment herbs (oreganosage) Eggplant Cabbage,,0.3m,0.1m,Moist well drained soil.,Remove flower heads after flowering to produce rich dense foliage. Renew the plant every two to three years - unless it has self seeded.,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
28,Lycopersicon esculentum,Tomatoes,Vegetable,"Tomato plants are vines initially decumbent typically growing 180 cm (6 ft) or more above the ground if supported although erect bush varieties have been bred generally 100 cm (3 ft) tall or shorter. Indeterminate types are ""tender"" perennials dying annually in temperate climates (they are originally native to tropical highlands) although they can live up to three years in a greenhouse in some cases.",https://en.wikipedia.org/wiki/Tomato,Grow in seed trays and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61°F and 95°F. (Show °C/cm),16 - 24 inches apart,Harvest in 8-17 weeks.,Asparagus ChervilCarrot Celery Chives Parsley Marigold Basil,Rosemary Potatoes Fennel,1.8m,0.2m,Fertile well drained and warm soils. Don't plant tomatoes in the same soil two years in a row to avoid disease carry-over. Add a sprinkle of lime - as toms like calcium.,Grow from seeds or buy seedlings - however keep both protected until they are established (30cms tall at least) before planting out with stakes to hold them up. Some will grow prostrate but become prone to slugs. Keep moist but don't overwater feed often during growing phases with a fertiliser formulated specially for tomatoes.,Full sun,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
29,Cucurbita pepo,Zucchini,Vegetable,The zucchini is a summer squash which can reach nearly 1 metre (100 cm; 39 in) in length but is usually harvested when still immature at about 15 to 25 cm (6 to 10 in). When used for food zucchini are usually picked when under 20 cm (8 in) in length when the seeds are still soft and immature. Mature zucchini can be a metre long or more. The larger ones are often fibrous. A zucchini with the flowers attached is a sign of a truly fresh and immature fruit and it is especially sought after for its sweeter flavor.,https://en.wikipedia.org/wiki/Zucchini,Grow in seed trays and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 95°F. (Show °C/cm),20 - 35 inches apart,Harvest in 6-9 weeks. Cut the fruit often to keep producing.,Corn beans nasturtiums parsley Silverbeet Tomatoes,Potatoes,2.2m,0.5m,Moist soils enrichened with plenty of organic matter. Best planted on a mound of soil to encourage drainage.,Apply a balance fertiliser when the flowers come into bud. Plant 2.5cm deep and harvest continually to prolong fruiting. N.B. It's best not to water the leaves as this promotes mildew.,Full sun/Light shade,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
